Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v2/training_v2_f01_2.pth,v2,f_01,1000,1,[3.69470891 3.78380123],[-2.80355733  2.32835582],6.65926,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,2,[3.69483914 3.78353148],[-2.69358288  2.98277696],6.43841,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,3,[3.6953017 3.7844891],[-2.57577719  3.17464319],6.30066,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,0,[5.         3.70889538],[ 1.30835906 -1.15355239],6.10505,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,1,[5.         3.70894255],[-2.80355733  2.32835582],7.92474,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,2,[5.         3.70894279],[-2.69358288  2.98277696],7.72778,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,3,[5.         3.70891128],[-2.57577719  3.17464319],7.59459,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,0,[3.62618427 4.28622583],[ 1.30835906 -1.15355239],5.91299,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,1,[3.62685031 4.28709126],[-2.80355733  2.32835582],6.72211,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,2,[3.62598767 4.28752077],[-2.69358288  2.98277696],6.45285,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,3,[3.87720697 3.98535642],[-2.57577719  3.17464319],6.50371,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,0,[ 1.20430111 -0.94758977],[ 1.30835906 -1.15355239],0.23076,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,1,[ 1.20511686 -0.94616568],[-2.80355733  2.32835582],5.1761,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,2,[ 1.12868898 -1.10771854],[-2.69358288  2.98277696],5.59839,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,3,[ 1.204976   -0.94726462],[-2.57577719  3.17464319],5.59323,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,0,[-3.56167482  3.37479044],[ 1.30835906 -1.15355239],6.65005,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,1,[ 1.22121348 -0.9732588 ],[-2.80355733  2.32835582],5.20571,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,2,[ 1.1432397  -1.13183049],[-2.69358288  2.98277696],5.62594,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,3,[ 1.14348177 -1.1314962 ],[-2.57577719  3.17464319],5.68997,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,0,[-2.56072396  1.89466873],[ 1.30835906 -1.15355239],4.92559,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,1,[ 0.95423997 -1.45583539],[-2.80355733  2.32835582],5.33302,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,2,[ 0.95396216 -1.4552056 ],[-2.69358288  2.98277696],5.74459,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,3,[ 1.3851058  -1.18016463],[-2.57577719  3.17464319],5.88668,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,0,[5.         3.87693948],[ 1.30835906 -1.15355239],6.23972,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,1,[4.9314527  3.85788419],[-2.80355733  2.32835582],7.88479,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,2,[4.92843933 3.86424704],[-2.69358288  2.98277696],7.67282,PSO
models/v3/training_v3_f03_3.pth,v3,f_03,10000,3,[4.93101538 3.85839063],[-2.57577719  3.17464319],7.53787,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,0,[4.37909434 5.        ],[ 1.30835906 -1.15355239],6.87718,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,1,[4.3791138 5.       ],[-2.80355733  2.32835582],7.66345,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,2,[4.37910535 5.        ],[-2.69358288  2.98277696],7.35473,PSO
models/v3/training_v3_f01_2.pth,v3,f_01,1000,3,[4.37908279 5.        ],[-2.57577719  3.17464319],7.19041,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,0,[ 1.43395522 -1.19923158],[ 1.30835906 -1.15355239],0.13364,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,1,[-2.79581738  5.        ],[-2.80355733  2.32835582],2.67166,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,2,[ 1.43366674 -1.20015097],[-2.69358288  2.98277696],5.87631,PSO
models/v3/training_v3_f24_4.pth,v3,f_24,100000,3,[ 1.43341404 -1.19885884],[-2.57577719  3.17464319],5.93305,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,0,[-2.11053548  2.40859216],[ 1.30835906 -1.15355239],4.93738,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,1,[-2.1153822   2.41592045],[-2.80355733  2.32835582],0.69372,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,2,[ 1.15432236 -0.76324229],[-2.69358288  2.98277696],5.3702,PSO
models/v3/training_v3_f24_5.pth,v3,f_24,1000000,3,[ 1.13331309 -0.73203866],[-2.57577719  3.17464319],5.38698,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,0,[5. 5.],[ 1.30835906 -1.15355239],7.17596,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,1,[5. 5.],[-2.80355733  2.32835582],8.24822,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,2,[5. 5.],[-2.69358288  2.98277696],7.95364,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,3,[5. 5.],[-2.57577719  3.17464319],7.79258,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,0,[5.         3.70033367],[ 1.30835906 -1.15355239],6.09823,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,1,[5.         3.70037158],[-2.80355733  2.32835582],7.92325,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,2,[5.         3.70039072],[-2.69358288  2.98277696],7.72698,PSO
models/v3/training_v3_f03_2.pth,v3,f_03,1000,3,[5.         3.70039114],[-2.57577719  3.17464319],7.594,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,0,[-5.          3.40432564],[ 1.30835906 -1.15355239],7.78265,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,1,[-5.         3.4043049],[-2.80355733  2.32835582],2.44582,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,2,[ 0.88531968 -0.67825768],[-2.69358288  2.98277696],5.11974,PSO
models/v3/training_v3_f24_2.pth,v3,f_24,1000,3,[ 0.93737993 -0.77999725],[-2.57577719  3.17464319],5.28975,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,0,[3.44714107 3.89049659],[ 1.30835906 -1.15355239],5.47876,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,1,[3.44586019 3.89005109],[-2.80355733  2.32835582],6.44159,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,2,[3.44764233 3.89106674],[-2.69358288  2.98277696],6.20803,PSO
models/v3/training_v3_f01_4.pth,v3,f_01,100000,3,[3.4452398  3.88975809],[-2.57577719  3.17464319],6.06334,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,0,[5.         4.17748502],[ 1.30835906 -1.15355239],6.48446,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,1,[5.         4.17748965],[-2.80355733  2.32835582],8.01965,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,2,[5.         4.17748399],[-2.69358288  2.98277696],7.78579,PSO
models/v3/training_v3_f03_5.pth,v3,f_03,1000000,3,[5.         4.17752107],[-2.57577719  3.17464319],7.64187,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,0,[4.67702991 4.03925086],[ 1.30835906 -1.15355239],6.18976,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,1,[4.67671306 4.03925301],[-2.80355733  2.32835582],7.67344,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,2,[4.67822031 4.03860772],[-2.69358288  2.98277696],7.44703,PSO
models/v3/training_v3_f03_4.pth,v3,f_03,100000,3,[4.65726083 4.04575387],[-2.57577719  3.17464319],7.28531,PSO
models/v3/training_v3_f01_3.pth,v3,f_01,10000,0,[4.18229784 5.        ],[ 1.30835906 -1.15355239],6.79159,PSO
