Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v2/training_v2_f03_1.pth,v2,f_03,100,1,[5.         4.71433501],[3.82328016 4.15139304],1.30444,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,2,[5.        4.7159511],[3.82334226 4.15010762],1.30564,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,3,[5.         4.71598879],[3.82302994 4.15176284],1.30522,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,0,[5.         3.70889538],[3.82224132 4.14976484],1.25757,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,1,[5.         3.70894255],[3.82366066 4.149526  ],1.25614,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,2,[5.         3.70894279],[3.82334226 4.15010762],1.25664,PSO
models/v2/training_v2_f03_2.pth,v2,f_03,1000,3,[5.         3.70891128],[3.82302994 4.15176284],1.25753,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,0,[5.         4.57273934],[3.82224132 4.14976484],1.25141,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,1,[5.         4.57273299],[3.82366066 4.149526  ],1.25015,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,2,[5.         4.57275018],[3.82334226 4.15010762],1.25026,PSO
models/v2/training_v2_f03_3.pth,v2,f_03,10000,3,[5.         4.57273435],[3.82302994 4.15176284],1.24999,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,0,[-2.56072396  1.89466873],[ 1.30835906 -1.15355239],4.92559,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,1,[ 0.95423997 -1.45583539],[-2.80355733  2.32835582],5.33302,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,2,[ 0.95396216 -1.4552056 ],[-2.69358288  2.98277696],5.74459,PSO
models/v2/training_v2_f24_1.pth,v2,f_24,100,3,[ 1.3851058  -1.18016463],[-2.57577719  3.17464319],5.88668,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,0,[ 1.20430111 -0.94758977],[ 1.30835906 -1.15355239],0.23076,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,1,[ 1.20511686 -0.94616568],[-2.80355733  2.32835582],5.1761,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,2,[ 1.12868898 -1.10771854],[-2.69358288  2.98277696],5.59839,PSO
models/v2/training_v2_f24_2.pth,v2,f_24,1000,3,[ 1.204976   -0.94726462],[-2.57577719  3.17464319],5.59323,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,0,[-3.56167482  3.37479044],[ 1.30835906 -1.15355239],6.65005,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,1,[ 1.22121348 -0.9732588 ],[-2.80355733  2.32835582],5.20571,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,2,[ 1.1432397  -1.13183049],[-2.69358288  2.98277696],5.62594,PSO
models/v2/training_v2_f24_3.pth,v2,f_24,10000,3,[ 1.14348177 -1.1314962 ],[-2.57577719  3.17464319],5.68997,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,0,[5. 5.],[3.81938199 4.15056568],1.45444,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,1,[5. 5.],[3.81990017 4.15192244],1.45323,PSO
models/v3/training_v3_f01_1.pth,v3,f_01,100,2,[5. 5.],[3.82565229 4.14996556],1.44971,PSO
