Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v1/training_v1_f03_3.pth,v1,f_03,10000,0,[5.         4.33368262],[ 1.24576506 -1.24694881],6.7259,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,1,[5.         4.33368248],[-1.98315739  2.87156759],7.13458,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,2,[5.         4.33369096],[-3.02638092  2.8639543 ],8.15984,PSO
models/v1/training_v1_f03_3.pth,v1,f_03,10000,3,[5.         4.33367062],[-3.80365766  2.42703926],9.00775,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[3.78606766 5.        ],[-2.25392616  2.842742  ],6.41368,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.7859843 5.       ],[ 1.19675049 -1.34869765],6.85639,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[3.78606772 5.        ],[-3.27721835  2.03402489],7.66075,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[3.78606516 5.        ],[-2.85894937  2.6932639 ],7.03401,PSO
