Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f01_3.pth,v1,f_01,10000,6,[3.78603429 5.        ],[3.82326788 4.14955734],0.85126,1.2953544139047333,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,7,[3.78610335 5.        ],[3.82246657 4.15132889],0.84945,1.2869125390715357,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,8,[3.78607473 5.        ],[3.82014005 4.15171486],0.84897,1.2789149237265258,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,9,[3.78592995 4.99965265],[3.82154437 4.15065163],0.84975,1.271385525588415,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,10,[3.78605626 5.        ],[3.82051594 4.15228133],0.84842,1.2635535104113977,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,11,[3.78611685 5.        ],[3.81897771 4.15004967],0.85059,1.2560941446100053,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,12,[3.78602259 5.        ],[3.82104622 4.14879798],0.85192,1.2492377272862192,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,13,[3.78604945 5.        ],[3.82546932 4.15268152],0.84823,1.2419885778475408,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,14,[3.7860103  4.99990886],[3.81935407 4.15140671],0.84916,1.2354915380761773,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,15,[3.78614179 5.        ],[3.82571988 4.14778645],0.85313,1.228559051765703,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,16,[3.47974785 4.21395468],[3.82095204 4.15250593],0.34669,1.2192323387965776,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,17,[3.78599539 5.        ],[3.81902365 4.15043903],0.8502,1.2129632031357833,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,18,[3.78611272 5.        ],[3.82473707 4.14972148],0.85116,1.2067292482908352,PSO
models/v1/training_v1_f01_3.pth,v1,f_01,10000,19,[3.78611091 5.        ],[3.82371372 4.15283461],0.848,1.2016551324146338,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[5. 5.],[3.82224132 4.14976484],1.45259,45.26325899494658,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[5. 5.],[3.82366066 4.149526  ],1.45158,45.35639237688747,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,2,[5. 5.],[3.82334226 4.15010762],1.4515,45.445824061888196,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,3,[5. 5.],[3.82302994 4.15176284],1.45078,45.53240941161058,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,4,[5. 5.],[3.82286729 4.15060479],1.45159,45.61649132951,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,5,[5. 5.],[3.8232494 4.1502129],1.45151,45.702178052767344,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,6,[5. 5.],[3.821554  4.4904893],1.28388,45.78407378149911,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,7,[5. 5.],[4.81734835 4.14970895],0.86969,45.8535133610185,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,8,[5. 5.],[3.82258647 4.49045104],1.28294,45.91838150613521,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,9,[5. 5.],[3.82161048 4.15015463],1.45287,45.99195164881127,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,10,[5. 5.],[2.83333346 4.14562137],2.32904,46.054417977257835,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,11,[5. 5.],[4.81905445 4.1498634 ],0.86918,46.12152953233973,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,12,[5. 5.],[4.81822624 4.15005875],0.86916,46.19280154956195,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,13,[5. 5.],[3.82803825 4.14936529],1.44813,46.24942578974735,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,14,[5. 5.],[4.81842596 4.49041884],0.54096,46.315145182545955,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,15,[5. 5.],[3.82197746 4.14996575],1.45269,46.37093269995032,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,16,[5. 5.],[4.81915061 4.15006125],0.86897,46.43786173534643,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,17,[5. 5.],[3.82291483 4.15002886],1.45189,46.492974680317126,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,18,[5. 5.],[3.82376751 4.15139879],1.4504,46.55221380708577,PSO
models/v1/training_v1_f03_1.pth,v1,f_03,100,19,[5. 5.],[3.82242494 4.14968903],1.45248,46.600379613108835,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,0,[5.         3.75483576],[3.82224132 4.14976484],1.24221,14.322412352166657,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,1,[5.        3.7547897],[3.82366066 4.149526  ],1.2408,14.269737781032404,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,2,[5.         3.75484494],[3.82334226 4.15010762],1.24127,14.217343064535875,PSO
models/v1/training_v1_f03_2.pth,v1,f_03,1000,3,[5.         3.76012376],[3.81686538 4.14684476],1.24473,14.19572300884429,PSO
