Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v2/training_v2_f01_1.pth,v2,f_01,100,3,[2.66499906 2.69838204],[0.91298578 0.93570662],2.48527,BasinHopping
models/v2/training_v2_f01_2.pth,v2,f_01,1000,0,[3.41073675 2.99821324],[0.21015794 1.26141809],3.64145,BasinHopping
models/v2/training_v2_f01_2.pth,v2,f_01,1000,1,[-0.25889028  2.99261687],[-0.25889028  1.98261687],1.01,BasinHopping
models/v2/training_v2_f01_2.pth,v2,f_01,1000,2,[-0.12868271  0.45629403],[ 0.29802081 -0.21700481],0.79712,BasinHopping
models/v2/training_v2_f01_2.pth,v2,f_01,1000,3,[2.00889896 2.91900746],[0.91298578 0.93570662],2.26595,BasinHopping
models/v2/training_v2_f01_3.pth,v2,f_01,10000,0,[3.58834431 3.56951095],[0.21015794 1.26141809],4.09139,BasinHopping
models/v2/training_v2_f01_3.pth,v2,f_01,10000,1,[2.36140587 4.96116296],[-0.25889028  1.98261687],3.96708,BasinHopping
models/v2/training_v2_f01_3.pth,v2,f_01,10000,2,[ 1.52832281 -0.69065266],[ 0.29802081 -0.21700481],1.31833,BasinHopping
models/v2/training_v2_f01_3.pth,v2,f_01,10000,3,[1.93966782 2.27209047],[0.91298578 0.93570662],1.68523,BasinHopping
models/v2/training_v2_f03_1.pth,v2,f_03,100,0,[0.84565066 3.7141372 ],[-1.9147766   3.56171033],2.76463,BasinHopping
models/v2/training_v2_f03_1.pth,v2,f_03,100,1,[1.87461822 4.13839563],[-3.32837962  4.47986384],5.21419,BasinHopping
models/v2/training_v2_f03_1.pth,v2,f_03,100,2,[-0.73410782  3.92232926],[0.06961257 3.16374469],1.10518,BasinHopping
models/v2/training_v2_f03_1.pth,v2,f_03,100,3,[1.68781579 4.13308388],[0.74162252 3.51419074],1.13062,BasinHopping
models/v2/training_v2_f03_2.pth,v2,f_03,1000,0,[1.75233428 4.2057525 ],[-1.9147766   3.56171033],3.72324,BasinHopping
models/v2/training_v2_f03_2.pth,v2,f_03,1000,1,[1.70272469 4.18369293],[-3.32837962  4.47986384],5.03981,BasinHopping
models/v2/training_v2_f03_2.pth,v2,f_03,1000,2,[4.02599179 4.06352519],[0.06961257 3.16374469],4.05741,BasinHopping
models/v2/training_v2_f03_2.pth,v2,f_03,1000,3,[1.8086655  3.59245639],[0.74162252 3.51419074],1.06991,BasinHopping
models/v2/training_v2_f03_3.pth,v2,f_03,10000,0,[2.69682054 4.72184623],[-1.9147766   3.56171033],4.75529,BasinHopping
models/v2/training_v2_f03_3.pth,v2,f_03,10000,1,[1.62338264 4.0128268 ],[-3.32837962  4.47986384],4.97374,BasinHopping
models/v2/training_v2_f03_3.pth,v2,f_03,10000,2,[1.71075964 4.22204456],[0.06961257 3.16374469],1.95278,BasinHopping
models/v2/training_v2_f03_3.pth,v2,f_03,10000,3,[4.72599029 4.05891082],[0.74162252 3.51419074],4.02143,BasinHopping
models/v2/training_v2_f24_1.pth,v2,f_24,100,0,[-2.15334754  2.01855224],[-1.09953118  0.41187654],1.92144,BasinHopping
models/v2/training_v2_f24_1.pth,v2,f_24,100,1,[-2.39976299  1.87783103],[-1.95942509  1.60086524],0.5202,BasinHopping
models/v2/training_v2_f24_1.pth,v2,f_24,100,2,[-2.65734064  1.95221763],[-0.12868271 -1.56370597],4.3308,BasinHopping
models/v2/training_v2_f24_1.pth,v2,f_24,100,3,[ 0.87433217 -1.64126934],[ 0.63566148 -1.52258357],0.26655,BasinHopping
models/v2/training_v2_f24_2.pth,v2,f_24,1000,0,[-0.9982104   1.53565178],[-1.09953118  0.41187654],1.12833,BasinHopping
models/v2/training_v2_f24_2.pth,v2,f_24,1000,1,[-2.39204798  2.73460484],[-1.95942509  1.60086524],1.21348,BasinHopping
models/v2/training_v2_f24_2.pth,v2,f_24,1000,2,[ 1.04834387 -1.30862556],[-0.12868271 -1.56370597],1.20435,BasinHopping
models/v2/training_v2_f24_2.pth,v2,f_24,1000,3,[ 1.13669396 -0.92076569],[ 0.63566148 -1.52258357],0.78308,BasinHopping
models/v2/training_v2_f24_3.pth,v2,f_24,10000,0,[-2.33896199  1.77414379],[-1.09953118  0.41187654],1.84173,BasinHopping
models/v2/training_v2_f24_3.pth,v2,f_24,10000,1,[-3.53078028  3.312321  ],[-1.95942509  1.60086524],2.32341,BasinHopping
models/v2/training_v2_f24_3.pth,v2,f_24,10000,2,[-1.65480096  1.18805458],[-0.12868271 -1.56370597],3.14662,BasinHopping
models/v2/training_v2_f24_3.pth,v2,f_24,10000,3,[-3.07504577  1.91218536],[ 0.63566148 -1.52258357],5.05638,BasinHopping
models/v3/training_v3_f01_1.pth,v3,f_01,100,0,[3.55903189 0.88302483],[0.21015794 1.26141809],3.37018,BasinHopping
models/v3/training_v3_f01_1.pth,v3,f_01,100,1,[-1.89512093  4.79894346],[-0.25889028  1.98261687],3.25714,BasinHopping
models/v3/training_v3_f01_1.pth,v3,f_01,100,2,[1.0895697  0.47521092],[ 0.29802081 -0.21700481],1.05153,BasinHopping
models/v3/training_v3_f01_1.pth,v3,f_01,100,3,[0.68478036 1.47373206],[0.91298578 0.93570662],0.58442,BasinHopping
models/v3/training_v3_f01_2.pth,v3,f_01,1000,0,[3.41591323 0.64672305],[0.21015794 1.26141809],3.26416,BasinHopping
models/v3/training_v3_f01_2.pth,v3,f_01,1000,1,[-0.25889028  2.99261687],[-0.25889028  1.98261687],1.01,BasinHopping
models/v3/training_v3_f01_2.pth,v3,f_01,1000,2,[0.51832281 1.32934734],[ 0.29802081 -0.21700481],1.56197,BasinHopping
models/v3/training_v3_f01_2.pth,v3,f_01,1000,3,[3.95966813 3.28209078],[0.91298578 0.93570662],3.84549,BasinHopping
models/v3/training_v3_f01_3.pth,v3,f_01,10000,0,[2.7857413  2.23153949],[0.21015794 1.26141809],2.75223,BasinHopping
models/v3/training_v3_f01_3.pth,v3,f_01,10000,1,[1.39824547 3.42521234],[-0.25889028  1.98261687],2.19708,BasinHopping
models/v3/training_v3_f01_3.pth,v3,f_01,10000,2,[ 0.21657926 -0.13729008],[ 0.29802081 -0.21700481],0.11396,BasinHopping
models/v3/training_v3_f01_3.pth,v3,f_01,10000,3,[3.54898525 1.45815754],[0.91298578 0.93570662],2.68728,BasinHopping
models/v3/training_v3_f01_4.pth,v3,f_01,100000,0,[3.41073675 1.65154657],[0.21015794 1.26141809],3.22427,BasinHopping
models/v3/training_v3_f01_4.pth,v3,f_01,100000,1,[0.37726965 3.89220015],[-0.25889028  1.98261687],2.01276,BasinHopping
models/v3/training_v3_f01_4.pth,v3,f_01,100000,2,[1.72755185 1.81239901],[ 0.29802081 -0.21700481],2.48235,BasinHopping
models/v3/training_v3_f01_4.pth,v3,f_01,100000,3,[3.65635491 3.00412941],[0.91298578 0.93570662],3.43576,BasinHopping
models/v3/training_v3_f01_5.pth,v3,f_01,1000000,0,[1.70406507 1.14807823],[0.21015794 1.26141809],1.4982,BasinHopping
