Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,RMSE,Optimizer
models/v1/training_v1_f24_3.pth,v1,f_24,10000,4,[ 1.36967879 -1.8368069 ],[-2.38036236  2.65794006],5.85368,9.933418772826206,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,0,[3.59052843 5.        ],[3.81938199 4.15056568],0.87972,1.4451708728865824,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,1,[3.5905256 5.       ],[3.81990017 4.15192244],0.87855,1.4767250245467494,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,2,[3.59053071 5.        ],[3.82565229 4.14996556],0.88195,1.506941735893779,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,3,[3.59046567 5.        ],[3.8242938 4.1530502],0.87864,1.5356640677701172,PSO
models/v2/training_v2_f01_1.pth,v2,f_01,100,4,[3.59048383 5.        ],[3.82214224 4.15300585],0.8781,1.5624836147161376,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,0,[3.44296368 4.11450674],[3.81938199 4.15056568],0.37814,0.6865359803088231,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,1,[3.69470891 3.78380123],[3.81990017 4.15192244],0.38883,0.6833424213486123,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,2,[3.69483914 3.78353148],[3.82565229 4.14996556],0.38908,0.6802243471390746,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,3,[3.6953017 3.7844891],[3.8242938 4.1530502],0.39048,0.6772077113026459,PSO
models/v2/training_v2_f01_2.pth,v2,f_01,1000,4,[3.44338558 4.11349597],[3.82214224 4.15300585],0.38081,0.6734642504862539,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,0,[3.62610117 4.28695417],[3.81938199 4.15056568],0.23656,0.3828376030632797,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,1,[3.62685031 4.28709126],[3.81990017 4.15192244],0.23567,0.38039229084133286,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,2,[3.62687274 4.28862077],[3.82565229 4.14996556],0.24236,0.3779467093521717,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,3,[3.87720697 3.98535642],[3.8242938 4.1530502],0.17584,0.3758056849796663,PSO
models/v2/training_v2_f01_3.pth,v2,f_01,10000,4,[3.62645183 4.28773034],[3.82214224 4.15300585],0.23758,0.37377165629295755,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,0,[5.         4.71599655],[3.82224132 4.14976484],1.3068,11.013178452686589,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,1,[5.         4.71433501],[3.82328016 4.15139304],1.30444,11.010747007246392,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,2,[5.        4.7159511],[3.82334226 4.15010762],1.30564,11.00133285647985,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,3,[5.         4.71605507],[3.82302994 4.15176284],1.30525,10.988858429402045,PSO
models/v2/training_v2_f03_1.pth,v2,f_03,100,4,[5.         4.71605481],[3.82286729 4.15060479],1.3059,10.978498081436205,PSO
