Path,Version,Function,Size,Seed,Neural_net_optimum,Ground_truth_optimum,Distance,Optimizer
models/v1/training_v1_f01_1.pth,v1,f_01,100,0,[-3.77865326  3.53559318],[-3.36327646  0.11507051],3.44565,basinhop
models/v1/training_v1_f01_1.pth,v1,f_01,100,1,[-3.77865326  3.53559318],[-3.36327646  0.11507051],3.44565,basinhop
models/v1/training_v1_f01_1.pth,v1,f_01,100,2,[-3.77865326  3.53559318],[-3.36327646  0.11507051],3.44565,basinhop
models/v1/training_v1_f01_1.pth,v1,f_01,100,3,[-3.77865326  3.53559318],[-3.36327646  0.11507051],3.44565,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,0,[-0.66022877  0.7184842 ],[-3.36327646  0.11507051],2.76958,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,1,[-0.66022877  0.7184842 ],[-3.36327646  0.11507051],2.76958,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,2,[-0.66022877  0.7184842 ],[-3.36327646  0.11507051],2.76958,basinhop
models/v1/training_v1_f24_2.pth,v1,f_24,1000,3,[-0.66022877  0.7184842 ],[-3.36327646  0.11507051],2.76958,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,0,[-0.82442302  1.61571335],[-3.36327646  0.11507051],2.94919,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,1,[-0.82442302  1.61571335],[-3.36327646  0.11507051],2.94919,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,2,[-0.82442302  1.61571335],[-3.36327646  0.11507051],2.94919,basinhop
models/v1/training_v1_f24_1.pth,v1,f_24,100,3,[-0.82442302  1.61571335],[-3.36327646  0.11507051],2.94919,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,0,[1.33705829 2.69537017],[-3.36327646  0.11507051],5.362,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,1,[1.33705829 2.69537017],[-3.36327646  0.11507051],5.362,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,2,[1.33705829 2.69537017],[-3.36327646  0.11507051],5.362,basinhop
models/v1/training_v1_f01_2.pth,v1,f_01,1000,3,[1.33705829 2.69537017],[-3.36327646  0.11507051],5.362,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,0,[3.28499608 3.00663893],[-3.36327646  0.11507051],7.24988,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,1,[3.28499608 3.00663893],[-3.36327646  0.11507051],7.24988,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,2,[3.28499608 3.00663893],[-3.36327646  0.11507051],7.24988,basinhop
models/v1/training_v1_f01_3.pth,v1,f_01,10000,3,[3.28499608 3.00663893],[-3.36327646  0.11507051],7.24988,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,0,[1.83108648 4.13937475],[-3.36327646  0.11507051],6.57088,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,1,[1.83108648 4.13937475],[-3.36327646  0.11507051],6.57088,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,2,[1.83108648 4.13937475],[-3.36327646  0.11507051],6.57088,basinhop
models/v1/training_v1_f03_3.pth,v1,f_03,10000,3,[1.83108648 4.13937475],[-3.36327646  0.11507051],6.57088,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,0,[4.4546479  4.75534747],[-3.36327646  0.11507051],9.09132,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,1,[4.4546479  4.75534747],[-3.36327646  0.11507051],9.09132,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,2,[4.4546479  4.75534747],[-3.36327646  0.11507051],9.09132,basinhop
models/v1/training_v1_f03_2.pth,v1,f_03,1000,3,[4.4546479  4.75534747],[-3.36327646  0.11507051],9.09132,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,0,[-2.43955512  4.9783178 ],[-3.36327646  0.11507051],4.9502,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,1,[-2.43955512  4.9783178 ],[-3.36327646  0.11507051],4.9502,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,2,[-2.43955512  4.9783178 ],[-3.36327646  0.11507051],4.9502,basinhop
models/v1/training_v1_f03_1.pth,v1,f_03,100,3,[-2.43955512  4.9783178 ],[-3.36327646  0.11507051],4.9502,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,0,[-2.79185031  2.39644756],[-3.36327646  0.11507051],2.35185,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,1,[-2.79185031  2.39644756],[-3.36327646  0.11507051],2.35185,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,2,[-2.79185031  2.39644756],[-3.36327646  0.11507051],2.35185,basinhop
models/v1/training_v1_f24_3.pth,v1,f_24,10000,3,[-2.79185031  2.39644756],[-3.36327646  0.11507051],2.35185,basinhop
models/v2/training_v2_f24_2.pth,v2,f_24,1000,0,[-2.73599021  3.00678942],[-3.36327646  0.11507051],2.95897,basinhop
models/v2/training_v2_f24_2.pth,v2,f_24,1000,1,[-2.73599021  3.00678942],[-3.36327646  0.11507051],2.95897,basinhop
models/v2/training_v2_f24_2.pth,v2,f_24,1000,2,[-2.73599021  3.00678942],[-3.36327646  0.11507051],2.95897,basinhop
models/v2/training_v2_f24_2.pth,v2,f_24,1000,3,[-2.73599021  3.00678942],[-3.36327646  0.11507051],2.95897,basinhop
models/v2/training_v2_f01_1.pth,v2,f_01,100,0,[0.09594    4.26846415],[-3.36327646  0.11507051],5.40526,basinhop
models/v2/training_v2_f01_1.pth,v2,f_01,100,1,[0.09594    4.26846415],[-3.36327646  0.11507051],5.40526,basinhop
models/v2/training_v2_f01_1.pth,v2,f_01,100,2,[0.09594    4.26846415],[-3.36327646  0.11507051],5.40526,basinhop
models/v2/training_v2_f01_1.pth,v2,f_01,100,3,[0.09594    4.26846415],[-3.36327646  0.11507051],5.40526,basinhop
models/v2/training_v2_f03_1.pth,v2,f_03,100,0,[2.07172858 4.18559057],[-3.36327646  0.11507051],6.79032,basinhop
models/v2/training_v2_f03_1.pth,v2,f_03,100,1,[2.07172858 4.18559057],[-3.36327646  0.11507051],6.79032,basinhop
models/v2/training_v2_f03_1.pth,v2,f_03,100,2,[2.07172858 4.18559057],[-3.36327646  0.11507051],6.79032,basinhop
